,index,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,CPI
0,34342,CAN,CPI,ENRG,AGRWTH,M,Jan-62,0.0
1,34343,CAN,CPI,ENRG,AGRWTH,M,Feb-62,0.0
2,34344,CAN,CPI,ENRG,AGRWTH,M,Mar-62,0.0
3,34345,CAN,CPI,ENRG,AGRWTH,M,Apr-62,-0.8695652
4,34346,CAN,CPI,ENRG,AGRWTH,M,May-62,0.0
5,34347,CAN,CPI,ENRG,AGRWTH,M,Jun-62,0.8849558
6,34348,CAN,CPI,ENRG,AGRWTH,M,Jul-62,0.0
7,34349,CAN,CPI,ENRG,AGRWTH,M,Aug-62,-0.8695652
8,34350,CAN,CPI,ENRG,AGRWTH,M,Sep-62,-0.8695652
9,34351,CAN,CPI,ENRG,AGRWTH,M,Oct-62,-1.73913
10,34352,CAN,CPI,ENRG,AGRWTH,M,Nov-62,-1.73913
11,34353,CAN,CPI,ENRG,AGRWTH,M,Dec-62,0.0
12,34354,CAN,CPI,ENRG,AGRWTH,M,Jan-63,-2.608696
13,34355,CAN,CPI,ENRG,AGRWTH,M,Feb-63,-1.73913
14,34356,CAN,CPI,ENRG,AGRWTH,M,Mar-63,-2.608696
15,34357,CAN,CPI,ENRG,AGRWTH,M,Apr-63,-0.877193
16,34358,CAN,CPI,ENRG,AGRWTH,M,May-63,-0.877193
17,34359,CAN,CPI,ENRG,AGRWTH,M,Jun-63,-0.877193
18,34360,CAN,CPI,ENRG,AGRWTH,M,Jul-63,-3.508772
19,34361,CAN,CPI,ENRG,AGRWTH,M,Aug-63,-1.754386
20,34362,CAN,CPI,ENRG,AGRWTH,M,Sep-63,-1.754386
21,34363,CAN,CPI,ENRG,AGRWTH,M,Oct-63,-0.8849558
22,34364,CAN,CPI,ENRG,AGRWTH,M,Nov-63,-0.8849558
23,34365,CAN,CPI,ENRG,AGRWTH,M,Dec-63,-0.8849558
24,34366,CAN,CPI,ENRG,AGRWTH,M,Jan-64,0.0
25,34367,CAN,CPI,ENRG,AGRWTH,M,Feb-64,-0.8849558
26,34368,CAN,CPI,ENRG,AGRWTH,M,Mar-64,0.8928571
27,34369,CAN,CPI,ENRG,AGRWTH,M,Apr-64,0.0
28,34370,CAN,CPI,ENRG,AGRWTH,M,May-64,0.0
29,34371,CAN,CPI,ENRG,AGRWTH,M,Jun-64,0.0
30,34372,CAN,CPI,ENRG,AGRWTH,M,Jul-64,2.727273
31,34373,CAN,CPI,ENRG,AGRWTH,M,Aug-64,0.8928571
32,34374,CAN,CPI,ENRG,AGRWTH,M,Sep-64,0.8928571
33,34375,CAN,CPI,ENRG,AGRWTH,M,Oct-64,0.0
34,34376,CAN,CPI,ENRG,AGRWTH,M,Nov-64,0.0
35,34377,CAN,CPI,ENRG,AGRWTH,M,Dec-64,0.0
36,34378,CAN,CPI,ENRG,AGRWTH,M,Jan-65,0.8928571
37,34379,CAN,CPI,ENRG,AGRWTH,M,Feb-65,0.8928571
38,34380,CAN,CPI,ENRG,AGRWTH,M,Mar-65,-0.8849558
39,34381,CAN,CPI,ENRG,AGRWTH,M,Apr-65,-0.8849558
40,34382,CAN,CPI,ENRG,AGRWTH,M,May-65,0.0
41,34383,CAN,CPI,ENRG,AGRWTH,M,Jun-65,0.0
42,34384,CAN,CPI,ENRG,AGRWTH,M,Jul-65,-0.8849558
43,34385,CAN,CPI,ENRG,AGRWTH,M,Aug-65,-0.8849558
44,34386,CAN,CPI,ENRG,AGRWTH,M,Sep-65,0.0
45,34387,CAN,CPI,ENRG,AGRWTH,M,Oct-65,0.8928571
46,34388,CAN,CPI,ENRG,AGRWTH,M,Nov-65,0.8928571
47,34389,CAN,CPI,ENRG,AGRWTH,M,Dec-65,0.8928571
48,34390,CAN,CPI,ENRG,AGRWTH,M,Jan-66,0.0
49,34391,CAN,CPI,ENRG,AGRWTH,M,Feb-66,0.0
50,34392,CAN,CPI,ENRG,AGRWTH,M,Mar-66,0.8928571
51,34393,CAN,CPI,ENRG,AGRWTH,M,Apr-66,1.785714
52,34394,CAN,CPI,ENRG,AGRWTH,M,May-66,0.8849558
