,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,CPI
114243,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Jan-62,-0.09408014
114244,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Feb-62,-0.09408014
114245,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Mar-62,0.0
114246,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Apr-62,0.6483024
114247,CAN,CPI,TOT_FOODENRG,AGRWTH,M,May-62,0.5849416
114248,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Jun-62,1.202371
114249,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Jul-62,1.267296
114250,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Aug-62,2.011163
114251,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Sep-62,1.138484
114252,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Oct-62,1.975231
114253,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Nov-62,1.975231
114254,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Dec-62,1.944965
114255,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Jan-63,2.040907
114256,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Feb-63,1.884782
114257,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Mar-63,1.944907
114258,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Apr-63,1.226754
114259,CAN,CPI,TOT_FOODENRG,AGRWTH,M,May-63,1.131165
114260,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Jun-63,0.3609265
114261,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Jul-63,1.982329
114262,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Aug-63,1.847623
114263,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Sep-63,1.858316
114264,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Oct-63,1.301824
114265,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Nov-63,1.9685
114266,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Dec-63,1.9685
114267,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Jan-64,2.094791
114268,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Feb-64,2.251239
114269,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Mar-64,2.034074
114270,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Apr-64,2.856313
114271,CAN,CPI,TOT_FOODENRG,AGRWTH,M,May-64,2.761422
114272,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Jun-64,2.766526
114273,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Jul-64,1.706366
114274,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Aug-64,1.251535
114275,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Sep-64,2.100259
114276,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Oct-64,2.247287
114277,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Nov-64,1.488396
114278,CAN,CPI,TOT_FOODENRG,AGRWTH,M,Dec-64,2.05181
