,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,CPI
35074,CAN,CPI,FOOD,AGRWTH,M,Jan-62,0.6493506
35075,CAN,CPI,FOOD,AGRWTH,M,Feb-62,0.6493506
35076,CAN,CPI,FOOD,AGRWTH,M,Mar-62,0.0
35077,CAN,CPI,FOOD,AGRWTH,M,Apr-62,1.298701
35078,CAN,CPI,FOOD,AGRWTH,M,May-62,1.315789
35079,CAN,CPI,FOOD,AGRWTH,M,Jun-62,1.960784
35080,CAN,CPI,FOOD,AGRWTH,M,Jul-62,1.935484
35081,CAN,CPI,FOOD,AGRWTH,M,Aug-62,2.580645
35082,CAN,CPI,FOOD,AGRWTH,M,Sep-62,3.289474
35083,CAN,CPI,FOOD,AGRWTH,M,Oct-62,3.267974
35084,CAN,CPI,FOOD,AGRWTH,M,Nov-62,3.267974
35085,CAN,CPI,FOOD,AGRWTH,M,Dec-62,2.597403
35086,CAN,CPI,FOOD,AGRWTH,M,Jan-63,3.225806
35087,CAN,CPI,FOOD,AGRWTH,M,Feb-63,3.870968
35088,CAN,CPI,FOOD,AGRWTH,M,Mar-63,3.896104
35089,CAN,CPI,FOOD,AGRWTH,M,Apr-63,2.564103
35090,CAN,CPI,FOOD,AGRWTH,M,May-63,3.246753
35091,CAN,CPI,FOOD,AGRWTH,M,Jun-63,3.205128
35092,CAN,CPI,FOOD,AGRWTH,M,Jul-63,3.797468
35093,CAN,CPI,FOOD,AGRWTH,M,Aug-63,3.773585
35094,CAN,CPI,FOOD,AGRWTH,M,Sep-63,3.821656
35095,CAN,CPI,FOOD,AGRWTH,M,Oct-63,1.898734
35096,CAN,CPI,FOOD,AGRWTH,M,Nov-63,2.531646
35097,CAN,CPI,FOOD,AGRWTH,M,Dec-63,2.531646
35098,CAN,CPI,FOOD,AGRWTH,M,Jan-64,1.25
35099,CAN,CPI,FOOD,AGRWTH,M,Feb-64,0.621118
35100,CAN,CPI,FOOD,AGRWTH,M,Mar-64,1.25
35101,CAN,CPI,FOOD,AGRWTH,M,Apr-64,1.25
35102,CAN,CPI,FOOD,AGRWTH,M,May-64,1.886792
35103,CAN,CPI,FOOD,AGRWTH,M,Jun-64,1.863354
35104,CAN,CPI,FOOD,AGRWTH,M,Jul-64,2.439024
35105,CAN,CPI,FOOD,AGRWTH,M,Aug-64,1.212121
35106,CAN,CPI,FOOD,AGRWTH,M,Sep-64,0.613497
35107,CAN,CPI,FOOD,AGRWTH,M,Oct-64,0.0
35108,CAN,CPI,FOOD,AGRWTH,M,Nov-64,0.0
35109,CAN,CPI,FOOD,AGRWTH,M,Dec-64,1.234568
35110,CAN,CPI,FOOD,AGRWTH,M,Jan-65,0.6172839
35111,CAN,CPI,FOOD,AGRWTH,M,Feb-65,1.234568
35112,CAN,CPI,FOOD,AGRWTH,M,Mar-65,1.234568
35113,CAN,CPI,FOOD,AGRWTH,M,Apr-65,1.234568
35114,CAN,CPI,FOOD,AGRWTH,M,May-65,2.469136
35115,CAN,CPI,FOOD,AGRWTH,M,Jun-65,3.658537
35116,CAN,CPI,FOOD,AGRWTH,M,Jul-65,2.976191
35117,CAN,CPI,FOOD,AGRWTH,M,Aug-65,1.796407
35118,CAN,CPI,FOOD,AGRWTH,M,Sep-65,2.439024
35119,CAN,CPI,FOOD,AGRWTH,M,Oct-65,3.726708
35120,CAN,CPI,FOOD,AGRWTH,M,Nov-65,4.938272
35121,CAN,CPI,FOOD,AGRWTH,M,Dec-65,5.487805
35122,CAN,CPI,FOOD,AGRWTH,M,Jan-66,6.134969
35123,CAN,CPI,FOOD,AGRWTH,M,Feb-66,6.707317
35124,CAN,CPI,FOOD,AGRWTH,M,Mar-66,8.536586
35125,CAN,CPI,FOOD,AGRWTH,M,Apr-66,8.536586
35126,CAN,CPI,FOOD,AGRWTH,M,May-66,7.228916
35127,CAN,CPI,FOOD,AGRWTH,M,Jun-66,5.294117
35128,CAN,CPI,FOOD,AGRWTH,M,Jul-66,3.468208
35129,CAN,CPI,FOOD,AGRWTH,M,Aug-66,8.235294
35130,CAN,CPI,FOOD,AGRWTH,M,Sep-66,7.738095
35131,CAN,CPI,FOOD,AGRWTH,M,Oct-66,7.185629
35132,CAN,CPI,FOOD,AGRWTH,M,Nov-66,4.705883
35133,CAN,CPI,FOOD,AGRWTH,M,Dec-66,2.890173
35134,CAN,CPI,FOOD,AGRWTH,M,Jan-67,2.890173
35135,CAN,CPI,FOOD,AGRWTH,M,Feb-67,0.5714286
35136,CAN,CPI,FOOD,AGRWTH,M,Mar-67,-1.685393
35137,CAN,CPI,FOOD,AGRWTH,M,Apr-67,-1.685393
35138,CAN,CPI,FOOD,AGRWTH,M,May-67,-1.685393
35139,CAN,CPI,FOOD,AGRWTH,M,Jun-67,-1.117318
35140,CAN,CPI,FOOD,AGRWTH,M,Jul-67,1.675978
35141,CAN,CPI,FOOD,AGRWTH,M,Aug-67,0.5434783
35142,CAN,CPI,FOOD,AGRWTH,M,Sep-67,0.0
35143,CAN,CPI,FOOD,AGRWTH,M,Oct-67,0.0
35144,CAN,CPI,FOOD,AGRWTH,M,Nov-67,1.123595
35145,CAN,CPI,FOOD,AGRWTH,M,Dec-67,1.685393
35146,CAN,CPI,FOOD,AGRWTH,M,Jan-68,3.370786
35147,CAN,CPI,FOOD,AGRWTH,M,Feb-68,3.977273
35148,CAN,CPI,FOOD,AGRWTH,M,Mar-68,3.428571
35149,CAN,CPI,FOOD,AGRWTH,M,Apr-68,4.571429
35150,CAN,CPI,FOOD,AGRWTH,M,May-68,3.428571
35151,CAN,CPI,FOOD,AGRWTH,M,Jun-68,2.824859
35152,CAN,CPI,FOOD,AGRWTH,M,Jul-68,1.648352
35153,CAN,CPI,FOOD,AGRWTH,M,Aug-68,1.621622
35154,CAN,CPI,FOOD,AGRWTH,M,Sep-68,3.314917
35155,CAN,CPI,FOOD,AGRWTH,M,Oct-68,3.351955
35156,CAN,CPI,FOOD,AGRWTH,M,Nov-68,3.888889
35157,CAN,CPI,FOOD,AGRWTH,M,Dec-68,4.419889
35158,CAN,CPI,FOOD,AGRWTH,M,Jan-69,2.717391
35159,CAN,CPI,FOOD,AGRWTH,M,Feb-69,2.185792
35160,CAN,CPI,FOOD,AGRWTH,M,Mar-69,3.314917
35161,CAN,CPI,FOOD,AGRWTH,M,Apr-69,3.278688
35162,CAN,CPI,FOOD,AGRWTH,M,May-69,4.419889
35163,CAN,CPI,FOOD,AGRWTH,M,Jun-69,6.593407
35164,CAN,CPI,FOOD,AGRWTH,M,Jul-69,4.864865
35165,CAN,CPI,FOOD,AGRWTH,M,Aug-69,5.319149
35166,CAN,CPI,FOOD,AGRWTH,M,Sep-69,3.743315
35167,CAN,CPI,FOOD,AGRWTH,M,Oct-69,3.783784
35168,CAN,CPI,FOOD,AGRWTH,M,Nov-69,3.743315
35169,CAN,CPI,FOOD,AGRWTH,M,Dec-69,3.174603
35170,CAN,CPI,FOOD,AGRWTH,M,Jan-70,3.174603
35171,CAN,CPI,FOOD,AGRWTH,M,Feb-70,5.882353
35172,CAN,CPI,FOOD,AGRWTH,M,Mar-70,4.812834
35173,CAN,CPI,FOOD,AGRWTH,M,Apr-70,5.291005
35174,CAN,CPI,FOOD,AGRWTH,M,May-70,3.174603
35175,CAN,CPI,FOOD,AGRWTH,M,Jun-70,1.546392
35176,CAN,CPI,FOOD,AGRWTH,M,Jul-70,2.061856
35177,CAN,CPI,FOOD,AGRWTH,M,Aug-70,0.5050505
35178,CAN,CPI,FOOD,AGRWTH,M,Sep-70,0.0
35179,CAN,CPI,FOOD,AGRWTH,M,Oct-70,0.0
35180,CAN,CPI,FOOD,AGRWTH,M,Nov-70,-2.57732
35181,CAN,CPI,FOOD,AGRWTH,M,Dec-70,-4.102564
35182,CAN,CPI,FOOD,AGRWTH,M,Jan-71,-3.589744
35183,CAN,CPI,FOOD,AGRWTH,M,Feb-71,-4.545455
35184,CAN,CPI,FOOD,AGRWTH,M,Mar-71,-3.061224
35185,CAN,CPI,FOOD,AGRWTH,M,Apr-71,-3.015075
35186,CAN,CPI,FOOD,AGRWTH,M,May-71,-0.5128205
35187,CAN,CPI,FOOD,AGRWTH,M,Jun-71,-1.522843
35188,CAN,CPI,FOOD,AGRWTH,M,Jul-71,0.5050505
35189,CAN,CPI,FOOD,AGRWTH,M,Aug-71,2.512563
35190,CAN,CPI,FOOD,AGRWTH,M,Sep-71,3.092783
35191,CAN,CPI,FOOD,AGRWTH,M,Oct-71,3.645833
35192,CAN,CPI,FOOD,AGRWTH,M,Nov-71,5.291005
35193,CAN,CPI,FOOD,AGRWTH,M,Dec-71,8.02139
