,LOCATION,SUBJECT,TIME,Value
0,AUS,ENRG,1972,4.91007
1,AUS,ENRG,1973,3.762801
2,AUS,ENRG,1974,13.17354
3,AUS,ENRG,1975,19.42247
4,AUS,ENRG,1976,8.833195
5,AUS,ENRG,1977,7.256738
6,AUS,ENRG,1978,10.7472
7,AUS,ENRG,1979,27.23942
8,AUS,ENRG,1980,19.4961
9,AUS,ENRG,1981,15.59402
10,AUS,ENRG,1982,13.02029
11,AUS,ENRG,1983,12.85172
12,AUS,ENRG,1984,7.439461
13,AUS,ENRG,1985,9.435687
14,AUS,ENRG,1986,1.109787
15,AUS,ENRG,1987,5.612381
16,AUS,ENRG,1988,-0.01473915
17,AUS,ENRG,1989,4.296725
18,AUS,ENRG,1990,16.06711
19,AUS,ENRG,1991,0.4380601
20,AUS,ENRG,1992,2.618369
21,AUS,ENRG,1993,1.020584
22,AUS,ENRG,1994,0.2203486
23,AUS,ENRG,1995,3.26599
24,AUS,ENRG,1996,1.12442
25,AUS,ENRG,1997,1.774115
26,AUS,ENRG,1998,-3.79814
27,AUS,ENRG,1999,1.932777
28,AUS,ENRG,2000,16.80462
29,AUS,ENRG,2001,2.465995
30,AUS,ENRG,2002,0.9137612
31,AUS,ENRG,2003,5.081695
32,AUS,ENRG,2004,6.346609
33,AUS,ENRG,2005,9.798734
34,AUS,ENRG,2006,9.250135
35,AUS,ENRG,2007,1.58193
36,AUS,ENRG,2008,12.51061
37,AUS,ENRG,2009,-6.307878
38,AUS,ENRG,2010,8.421489
39,AUS,ENRG,2011,10.93911
40,AUS,ENRG,2012,7.426358
41,AUS,ENRG,2013,6.413658
42,AUS,ENRG,2014,1.190338
43,AUS,ENRG,2015,-7.186137
44,AUS,ENRG,2016,-3.173628
45,AUS,ENRG,2017,9.450979
46,AUS,ENRG,2018,11.72583
47,AUS,ENRG,2019,7.668816
48,AUS,ENRG,2020,-2.10481
49,AUS,ENRG,2021,10.93195
50,AUS,FOOD,1956,7.315458
51,AUS,FOOD,1957,-1.449722
52,AUS,FOOD,1958,0.8763693
53,AUS,FOOD,1959,2.978591
54,AUS,FOOD,1960,5.483579
55,AUS,FOOD,1961,3.199086
56,AUS,FOOD,1962,-2.823139
57,AUS,FOOD,1963,0.2563372
58,AUS,FOOD,1964,3.806818
59,AUS,FOOD,1965,5.91133
60,AUS,FOOD,1966,1.989664
61,AUS,FOOD,1967,4.028376
62,AUS,FOOD,1968,2.532879
63,AUS,FOOD,1969,1.187648
64,AUS,FOOD,1970,3.620028
65,AUS,FOOD,1971,3.9
66,AUS,FOOD,1972,3.907289
67,AUS,FOOD,1973,15.35854
68,AUS,FOOD,1974,15.13158
69,AUS,FOOD,1975,7.428571
70,AUS,FOOD,1976,11.72493
71,AUS,FOOD,1977,10.59539
72,AUS,FOOD,1978,10.4799
73,AUS,FOOD,1979,14.828
74,AUS,FOOD,1980,12.93375
75,AUS,FOOD,1981,9.401827
76,AUS,FOOD,1982,6.330191
77,AUS,FOOD,1983,10.6089
78,AUS,FOOD,1984,4.503366
79,AUS,FOOD,1985,5.390636
80,AUS,FOOD,1986,8.803946
81,AUS,FOOD,1987,4.529447
82,AUS,FOOD,1988,8.358809
83,AUS,FOOD,1989,9.325144
84,AUS,FOOD,1990,3.119903
85,AUS,FOOD,1991,2.528369
86,AUS,FOOD,1992,0.5762925
87,AUS,FOOD,1993,2.433704
88,AUS,FOOD,1994,2.364403
89,AUS,FOOD,1995,5.140973
90,AUS,FOOD,1996,2.915198
91,AUS,FOOD,1997,2.828677
92,AUS,FOOD,1998,3.059577
93,AUS,FOOD,1999,3.518542
94,AUS,FOOD,2000,0.2729906
95,AUS,FOOD,2001,6.280433
96,AUS,FOOD,2002,3.750994
97,AUS,FOOD,2003,3.705396
98,AUS,FOOD,2004,1.922286
99,AUS,FOOD,2005,1.905833
100,AUS,FOOD,2006,9.852309
101,AUS,FOOD,2007,1.656439
102,AUS,FOOD,2008,4.251823
103,AUS,FOOD,2009,3.352177
104,AUS,FOOD,2010,1.139162
105,AUS,FOOD,2011,5.734226
106,AUS,FOOD,2012,-3.697105
107,AUS,FOOD,2013,0.2200269
108,AUS,FOOD,2014,2.63969
