LOCATION,SUBJECT,max,min,mean
AUS,ENRG,27.23942,-7.186137,6.580013275
AUS,FOOD,15.35854,-3.697105,4.654476553484849
AUS,TOT,19.42857,-0.3194888,4.903904980555556
AUT,ENRG,39.24276,-11.66509,4.1830442825
AUT,FOOD,10.74824,-1.722898,2.8881771265625
AUT,TOT,9.521791,0.5063094,3.2648501953125
BEL,ENRG,52.27981,-19.06161,4.974607187234042
BEL,FOOD,8.794951,-0.6204019,2.04455561959375
BEL,TOT,12.7682,-0.05314567,3.4138590168656715
BRA,FOOD,2618.241,0.02009739,313.562575042973
BRA,TOT,2947.733,3.195076,280.2654099761905
CAN,ENRG,30.05097,-13.45392,5.190807548360656
CAN,FOOD,17.42551,-1.427446,4.094607172131147
CAN,TOT,17.95511,-12.10565,3.134310036111111
CHE,ENRG,34.79766,-23.02695,3.027931445671642
CHE,FOOD,10.77606,-3.254117,1.9599390713432836
CHE,TOT,9.767415,-1.143909,2.301673
CHL,ENRG,21.99483,-12.55903,6.547647416666667
CHL,FOOD,17.72102,-1.924617,4.905373154166667
CHL,TOT,504.7385,0.3530467,40.792598398076926
CHN,FOOD,31.8,-4.2,5.525384615384615
CHN,TOT,24.1,-1.4,5.0162162162162165
CZE,ENRG,30.92727,-3.672866,5.333092544444445
CZE,FOOD,16.6946,-5.532564,3.104211210714286
CZE,TOT,20.81303,0.1187392,4.772977987096774
DEU,ENRG,35.13626,-11.53531,4.400967503333334
DEU,FOOD,12.75969,-1.307244,2.312960170895522
DEU,TOT,7.904384,-0.1294139,2.623870279104478
DNK,ENRG,49.87361,-6.766919,6.742650638846153
DNK,FOOD,13.39915,-1.016558,4.452062201964286
DNK,TOT,15.2752,0.25,4.384561223214286
ESP,ENRG,46.28181,-9.611794,6.7508493617021275
ESP,FOOD,23.63115,-1.051279,6.13681066031746
ESP,TOT,24.53805,-0.5003657,6.498146931343284
EST,ENRG,63.52201,-7.190845,8.710839920000002
EST,FOOD,19.91215,-4.023496,4.0606195768
EST,TOT,19.39826,-0.492326,4.0848429356
FIN,ENRG,46.30021,-8.290954,5.797494641791045
FIN,FOOD,20.66641,-7.913938,4.725371742835821
FIN,TOT,17.81139,-0.207932,4.724863485074627
FRA,ENRG,37.40781,-12.64308,5.171971970967742
FRA,FOOD,14.08203,-0.8388023,4.250075359038461
FRA,TOT,15.26053,0.03751438,4.203696139701493
GBR,ENRG,47.30435,-7.749077,7.442284623076923
GBR,FOOD,24.97066,-2.6,5.175227741935484
GBR,TOT,24.20729,0.4,4.9759084492537315
GRC,ENRG,38.38018,-11.36273,7.729977026470588
GRC,FOOD,33.48066,-1.682019,8.054593535380953
GRC,TOT,26.56085,-1.735902,7.558857326865671
HUN,ENRG,70.7714,-7.464918,11.06643569375
HUN,FOOD,34.89601,-0.7974482,10.205008945238095
HUN,TOT,34.81754,-0.2275663,9.823514674285715
IDN,TOT,58.45105,1.560136,10.600747226415095
IND,TOT,28.59873,-7.633931,7.3541259359375
IRL,ENRG,41.22056,-8.170344,6.27835385319149
IRL,FOOD,16.48948,-4.555463,3.422735144680851
IRL,TOT,20.37351,-4.478103,4.594511922085107
ISL,ENRG,21.6826,-5.522176,5.211387199
ISL,FOOD,37.67284,-2.638,8.391240189130434
ISL,TOT,83.95004,1.004184,14.463857298507463
ISR,ENRG,376.5937,-12.34048,36.17030153461538
ISR,FOOD,376.365,-1.364017,34.53916812915385
ISR,TOT,373.2157,-0.6343907,33.983251955769234
ITA,ENRG,51.44718,-8.898665,6.559805269193549
ITA,FOOD,19.68773,-2.947731,5.340870838615385
ITA,TOT,21.06417,-0.5073529,5.448833230597015
JPN,ENRG,34.59127,-11.07011,2.465865273880597
JPN,FOOD,29.44447,-2.420516,2.4652447165384617
JPN,TOT,23.175,-1.341667,2.408814063769231
KOR,ENRG,29.02706,-14.10364,4.898741095151515
KOR,FOOD,10.99069,0.04753609,4.6843280576315784
KOR,TOT,68.3052,-3.481539,9.793536272857143
LUX,ENRG,30.81358,-21.97841,4.445915347272727
LUX,FOOD,12.13498,-1.338375,3.2178165492537314
LUX,TOT,10.71768,-0.05666491,3.164837922238806
MEX,ENRG,166.3231,-3.634439,26.967620860465114
MEX,FOOD,130.9107,-8.682017,21.348386
MEX,TOT,131.8274,2.720641,21.553392888888887
NLD,ENRG,70.57054,-15.25727,5.236962495161291
NLD,FOOD,10.74305,-3.466096,2.6888749258064513
NLD,TOT,10.21748,-0.6912059,3.403079235806452
NOR,ENRG,44.51904,-20.27003,6.623369754545454
NOR,FOOD,16.74561,-2.027489,3.444430039931818
NOR,TOT,13.64296,0.3604903,4.364847537313433
NZL,ENRG,36.54124,-6.169039,5.774906742238806
NZL,FOOD,20.45501,-0.7199844,5.309993994193548
NZL,TOT,115.1389,-10.91559,6.142052648224299
