,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,CPI
518,CAN,CPI,ENRG,AGRWTH,A,1962,-0.4366812
519,CAN,CPI,ENRG,AGRWTH,A,1963,-1.608187
520,CAN,CPI,ENRG,AGRWTH,A,1964,0.371471
521,CAN,CPI,ENRG,AGRWTH,A,1965,0.07401925
522,CAN,CPI,ENRG,AGRWTH,A,1966,1.183432
523,CAN,CPI,ENRG,AGRWTH,A,1967,3.80117
524,CAN,CPI,ENRG,AGRWTH,A,1968,3.661972
525,CAN,CPI,ENRG,AGRWTH,A,1969,2.513587
526,CAN,CPI,ENRG,AGRWTH,A,1970,3.114645
527,CAN,CPI,ENRG,AGRWTH,A,1971,4.948586
528,CAN,CPI,ENRG,AGRWTH,A,1972,2.755664
529,CAN,CPI,ENRG,AGRWTH,A,1973,9.117997
530,CAN,CPI,ENRG,AGRWTH,A,1974,15.12835
531,CAN,CPI,ENRG,AGRWTH,A,1975,13.70968
532,CAN,CPI,ENRG,AGRWTH,A,1976,15.35252
533,CAN,CPI,ENRG,AGRWTH,A,1977,12.1519
534,CAN,CPI,ENRG,AGRWTH,A,1978,9.287327
535,CAN,CPI,ENRG,AGRWTH,A,1979,9.737386
536,CAN,CPI,ENRG,AGRWTH,A,1980,16.0527
537,CAN,CPI,ENRG,AGRWTH,A,1981,30.05097
538,CAN,CPI,ENRG,AGRWTH,A,1982,19.79334
539,CAN,CPI,ENRG,AGRWTH,A,1983,7.778108
540,CAN,CPI,ENRG,AGRWTH,A,1984,5.505726
541,CAN,CPI,ENRG,AGRWTH,A,1985,5.58462
542,CAN,CPI,ENRG,AGRWTH,A,1986,-7.147281
543,CAN,CPI,ENRG,AGRWTH,A,1987,2.601388
544,CAN,CPI,ENRG,AGRWTH,A,1988,0.5981017
545,CAN,CPI,ENRG,AGRWTH,A,1989,3.438025
546,CAN,CPI,ENRG,AGRWTH,A,1990,9.983756
547,CAN,CPI,ENRG,AGRWTH,A,1991,4.907976
548,CAN,CPI,ENRG,AGRWTH,A,1992,0.2815681
549,CAN,CPI,ENRG,AGRWTH,A,1993,1.231102
550,CAN,CPI,ENRG,AGRWTH,A,1994,0.5653936
551,CAN,CPI,ENRG,AGRWTH,A,1995,1.304763
552,CAN,CPI,ENRG,AGRWTH,A,1996,2.910995
553,CAN,CPI,ENRG,AGRWTH,A,1997,2.401302
554,CAN,CPI,ENRG,AGRWTH,A,1998,-4.054054
555,CAN,CPI,ENRG,AGRWTH,A,1999,5.664872
556,CAN,CPI,ENRG,AGRWTH,A,2000,16.23052
557,CAN,CPI,ENRG,AGRWTH,A,2001,3.238047
558,CAN,CPI,ENRG,AGRWTH,A,2002,-1.97664
559,CAN,CPI,ENRG,AGRWTH,A,2003,7.882677
560,CAN,CPI,ENRG,AGRWTH,A,2004,6.758322
561,CAN,CPI,ENRG,AGRWTH,A,2005,9.665751
562,CAN,CPI,ENRG,AGRWTH,A,2006,5.165589
563,CAN,CPI,ENRG,AGRWTH,A,2007,2.327332
564,CAN,CPI,ENRG,AGRWTH,A,2008,9.81486
565,CAN,CPI,ENRG,AGRWTH,A,2009,-13.45392
566,CAN,CPI,ENRG,AGRWTH,A,2010,6.643876
567,CAN,CPI,ENRG,AGRWTH,A,2011,12.25428
568,CAN,CPI,ENRG,AGRWTH,A,2012,1.691901
569,CAN,CPI,ENRG,AGRWTH,A,2013,1.504795
570,CAN,CPI,ENRG,AGRWTH,A,2014,3.528736
571,CAN,CPI,ENRG,AGRWTH,A,2015,-9.569909
572,CAN,CPI,ENRG,AGRWTH,A,2016,-2.960691
573,CAN,CPI,ENRG,AGRWTH,A,2017,5.291887
574,CAN,CPI,ENRG,AGRWTH,A,2018,6.695771
575,CAN,CPI,ENRG,AGRWTH,A,2019,-2.204378
576,CAN,CPI,ENRG,AGRWTH,A,2020,-7.609435
577,CAN,CPI,ENRG,AGRWTH,A,2021,18.84977
578,CAN,CPI,ENRG,AGRWTH,A,2022,22.55191
579,CAN,CPI,FOOD,AGRWTH,A,1962,1.899078
580,CAN,CPI,FOOD,AGRWTH,A,1963,3.194888
581,CAN,CPI,FOOD,AGRWTH,A,1964,1.135191
582,CAN,CPI,FOOD,AGRWTH,A,1965,2.653061
583,CAN,CPI,FOOD,AGRWTH,A,1966,6.361829
584,CAN,CPI,FOOD,AGRWTH,A,1967,0.1869159
585,CAN,CPI,FOOD,AGRWTH,A,1968,3.311567
586,CAN,CPI,FOOD,AGRWTH,A,1969,3.927765
587,CAN,CPI,FOOD,AGRWTH,A,1970,1.607298
588,CAN,CPI,FOOD,AGRWTH,A,1971,0.5130398
589,CAN,CPI,FOOD,AGRWTH,A,1972,7.698852
590,CAN,CPI,FOOD,AGRWTH,A,1973,15.0079
591,CAN,CPI,FOOD,AGRWTH,A,1974,15.7967
592,CAN,CPI,FOOD,AGRWTH,A,1975,12.54448
593,CAN,CPI,FOOD,AGRWTH,A,1976,1.581028
594,CAN,CPI,FOOD,AGRWTH,A,1977,8.819715
595,CAN,CPI,FOOD,AGRWTH,A,1978,17.42551
596,CAN,CPI,FOOD,AGRWTH,A,1979,13.4795
597,CAN,CPI,FOOD,AGRWTH,A,1980,11.1449
598,CAN,CPI,FOOD,AGRWTH,A,1981,11.9427
599,CAN,CPI,FOOD,AGRWTH,A,1982,6.383896
600,CAN,CPI,FOOD,AGRWTH,A,1983,2.919313
601,CAN,CPI,FOOD,AGRWTH,A,1984,6.066973
602,CAN,CPI,FOOD,AGRWTH,A,1985,2.451405
603,CAN,CPI,FOOD,AGRWTH,A,1986,5.039275
604,CAN,CPI,FOOD,AGRWTH,A,1987,4.544409
605,CAN,CPI,FOOD,AGRWTH,A,1988,1.991856
606,CAN,CPI,FOOD,AGRWTH,A,1989,3.118256
607,CAN,CPI,FOOD,AGRWTH,A,1990,3.902898
608,CAN,CPI,FOOD,AGRWTH,A,1991,2.296072
609,CAN,CPI,FOOD,AGRWTH,A,1992,-1.427446
610,CAN,CPI,FOOD,AGRWTH,A,1993,1.817637
611,CAN,CPI,FOOD,AGRWTH,A,1994,0.0980873
612,CAN,CPI,FOOD,AGRWTH,A,1995,2.66536
613,CAN,CPI,FOOD,AGRWTH,A,1996,1.154911
614,CAN,CPI,FOOD,AGRWTH,A,1997,1.538026
615,CAN,CPI,FOOD,AGRWTH,A,1998,1.570486
616,CAN,CPI,FOOD,AGRWTH,A,1999,1.05215
617,CAN,CPI,FOOD,AGRWTH,A,2000,1.068357
618,CAN,CPI,FOOD,AGRWTH,A,2001,4.846367
619,CAN,CPI,FOOD,AGRWTH,A,2002,2.52905
620,CAN,CPI,FOOD,AGRWTH,A,2003,1.441667
621,CAN,CPI,FOOD,AGRWTH,A,2004,1.774419
622,CAN,CPI,FOOD,AGRWTH,A,2005,2.292356
623,CAN,CPI,FOOD,AGRWTH,A,2006,2.272548
624,CAN,CPI,FOOD,AGRWTH,A,2007,2.63097
625,CAN,CPI,FOOD,AGRWTH,A,2008,3.93174
626,CAN,CPI,FOOD,AGRWTH,A,2009,5.475588
627,CAN,CPI,FOOD,AGRWTH,A,2010,0.9463722
628,CAN,CPI,FOOD,AGRWTH,A,2011,4.23913
629,CAN,CPI,FOOD,AGRWTH,A,2012,2.352711
630,CAN,CPI,FOOD,AGRWTH,A,2013,1.088825
631,CAN,CPI,FOOD,AGRWTH,A,2014,2.513227
632,CAN,CPI,FOOD,AGRWTH,A,2015,4.104455
633,CAN,CPI,FOOD,AGRWTH,A,2016,1.015169
634,CAN,CPI,FOOD,AGRWTH,A,2017,-1.010809
635,CAN,CPI,FOOD,AGRWTH,A,2018,0.8086413
636,CAN,CPI,FOOD,AGRWTH,A,2019,3.67703
637,CAN,CPI,FOOD,AGRWTH,A,2020,2.400181
638,CAN,CPI,FOOD,AGRWTH,A,2021,2.195014
639,CAN,CPI,FOOD,AGRWTH,A,2022,9.762547
640,CAN,CPI,TOT,AGRWTH,A,1915,2.080444
641,CAN,CPI,TOT,AGRWTH,A,1916,8.967391
642,CAN,CPI,TOT,AGRWTH,A,1917,17.95511
643,CAN,CPI,TOT,AGRWTH,A,1918,13.10782
644,CAN,CPI,TOT,AGRWTH,A,1919,9.53271
645,CAN,CPI,TOT,AGRWTH,A,1920,16.29693
646,CAN,CPI,TOT,AGRWTH,A,1921,-12.10565
647,CAN,CPI,TOT,AGRWTH,A,1922,-7.846411
648,CAN,CPI,TOT,AGRWTH,A,1923,0.0
649,CAN,CPI,TOT,AGRWTH,A,1924,-1.902174
650,CAN,CPI,TOT,AGRWTH,A,1925,1.200369
651,CAN,CPI,TOT,AGRWTH,A,1926,0.729927
652,CAN,CPI,TOT,AGRWTH,A,1927,-1.449275
653,CAN,CPI,TOT,AGRWTH,A,1928,0.7352941
654,CAN,CPI,TOT,AGRWTH,A,1929,1.00365
655,CAN,CPI,TOT,AGRWTH,A,1930,-0.9936766
656,CAN,CPI,TOT,AGRWTH,A,1931,-9.854014
657,CAN,CPI,TOT,AGRWTH,A,1932,-9.412955
658,CAN,CPI,TOT,AGRWTH,A,1933,-4.357542
659,CAN,CPI,TOT,AGRWTH,A,1934,1.168224
660,CAN,CPI,TOT,AGRWTH,A,1935,0.4618938
661,CAN,CPI,TOT,AGRWTH,A,1936,2.068965
662,CAN,CPI,TOT,AGRWTH,A,1937,3.603604
663,CAN,CPI,TOT,AGRWTH,A,1938,0.5434783
664,CAN,CPI,TOT,AGRWTH,A,1939,-0.7567568
665,CAN,CPI,TOT,AGRWTH,A,1940,4.248366
666,CAN,CPI,TOT,AGRWTH,A,1941,5.956113
667,CAN,CPI,TOT,AGRWTH,A,1942,4.635108
668,CAN,CPI,TOT,AGRWTH,A,1943,2.167766
669,CAN,CPI,TOT,AGRWTH,A,1944,0.6457565
