,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value,Flag Codes
564,G-7,CPI,TOT,AGRWTH,Jan-2018,1.838696,
565,G-7,CPI,TOT,AGRWTH,Feb-2018,1.8749,
566,G-7,CPI,TOT,AGRWTH,Mar-2018,1.999457,
567,G-7,CPI,TOT,AGRWTH,Apr-2018,1.958375,
568,G-7,CPI,TOT,AGRWTH,May-2018,2.290938,
569,G-7,CPI,TOT,AGRWTH,Jun-2018,2.340097,
570,G-7,CPI,TOT,AGRWTH,Jul-2018,2.456822,
571,G-7,CPI,TOT,AGRWTH,Aug-2018,2.363288,
572,G-7,CPI,TOT,AGRWTH,Sep-2018,2.057105,
573,G-7,CPI,TOT,AGRWTH,Oct-2018,2.286089,
574,G-7,CPI,TOT,AGRWTH,Nov-2018,1.948429,
575,G-7,CPI,TOT,AGRWTH,Dec-2018,1.642126,
576,G-7,CPI,TOT,AGRWTH,Jan-2019,1.342513,
577,G-7,CPI,TOT,AGRWTH,Feb-2019,1.347439,
578,G-7,CPI,TOT,AGRWTH,Mar-2019,1.55923,
579,G-7,CPI,TOT,AGRWTH,Apr-2019,1.78504,
580,G-7,CPI,TOT,AGRWTH,May-2019,1.563382,
581,G-7,CPI,TOT,AGRWTH,Jun-2019,1.483113,
582,G-7,CPI,TOT,AGRWTH,Jul-2019,1.567406,
583,G-7,CPI,TOT,AGRWTH,Aug-2019,1.434674,
584,G-7,CPI,TOT,AGRWTH,Sep-2019,1.37917,
585,G-7,CPI,TOT,AGRWTH,Oct-2019,1.371582,
586,G-7,CPI,TOT,AGRWTH,Nov-2019,1.587691,
587,G-7,CPI,TOT,AGRWTH,Dec-2019,1.828866,
588,G-7,CPI,TOT,AGRWTH,Jan-2020,2.003402,
589,G-7,CPI,TOT,AGRWTH,Feb-2020,1.865066,
590,G-7,CPI,TOT,AGRWTH,Mar-2020,1.26414,
591,G-7,CPI,TOT,AGRWTH,Apr-2020,0.3676001,
592,G-7,CPI,TOT,AGRWTH,May-2020,0.1753751,
593,G-7,CPI,TOT,AGRWTH,Jun-2020,0.5488588,
594,G-7,CPI,TOT,AGRWTH,Jul-2020,0.689831,
595,G-7,CPI,TOT,AGRWTH,Aug-2020,0.7842373,
596,G-7,CPI,TOT,AGRWTH,Sep-2020,0.7892263,
597,G-7,CPI,TOT,AGRWTH,Oct-2020,0.6684554,
598,G-7,CPI,TOT,AGRWTH,Nov-2020,0.6199971,
599,G-7,CPI,TOT,AGRWTH,Dec-2020,0.7051075,
600,G-7,CPI,TOT,AGRWTH,Jan-2021,0.993542,
601,G-7,CPI,TOT,AGRWTH,Feb-2021,1.203727,
602,G-7,CPI,TOT,AGRWTH,Mar-2021,1.900549,
603,G-7,CPI,TOT,AGRWTH,Apr-2021,2.849982,
604,G-7,CPI,TOT,AGRWTH,May-2021,3.495086,
605,G-7,CPI,TOT,AGRWTH,Jun-2021,3.740881,
606,G-7,CPI,TOT,AGRWTH,Jul-2021,3.892519,
607,G-7,CPI,TOT,AGRWTH,Aug-2021,3.964691,
608,G-7,CPI,TOT,AGRWTH,Sep-2021,4.179977,
609,G-7,CPI,TOT,AGRWTH,Oct-2021,4.824226,
610,G-7,CPI,TOT,AGRWTH,Nov-2021,5.382459,
611,G-7,CPI,TOT,AGRWTH,Dec-2021,5.570369,
612,G-7,CPI,TOT,AGRWTH,Jan-2022,5.826763,
613,G-7,CPI,TOT,AGRWTH,Feb-2022,6.279583,
614,G-7,CPI,TOT,AGRWTH,Mar-2022,7.075626,
615,G-7,CPI,TOT,AGRWTH,Apr-2022,7.157674,
616,G-7,CPI,TOT,AGRWTH,May-2022,7.502809,
617,G-7,CPI,TOT,AGRWTH,Jun-2022,7.881005,
618,G-7,CPI,TOT,AGRWTH,Jul-2022,7.626658,
619,G-7,CPI,TOT,AGRWTH,Aug-2022,7.531248,
620,G-7,CPI,TOT,AGRWTH,Sep-2022,7.693172,
621,G-7,CPI,TOT,AGRWTH,Oct-2022,7.800534,
622,G-7,CPI,TOT,AGRWTH,Nov-2022,7.370517,
1199,G-7,CPI,TOT,IDX2015,Jan-2018,103.5746,
1200,G-7,CPI,TOT,IDX2015,Feb-2018,103.9205,
1201,G-7,CPI,TOT,IDX2015,Mar-2018,104.1839,
1202,G-7,CPI,TOT,IDX2015,Apr-2018,104.4835,
1203,G-7,CPI,TOT,IDX2015,May-2018,104.9036,
1204,G-7,CPI,TOT,IDX2015,Jun-2018,105.0148,
1205,G-7,CPI,TOT,IDX2015,Jul-2018,105.0899,
1206,G-7,CPI,TOT,IDX2015,Aug-2018,105.2963,
1207,G-7,CPI,TOT,IDX2015,Sep-2018,105.3433,
1208,G-7,CPI,TOT,IDX2015,Oct-2018,105.5288,
1209,G-7,CPI,TOT,IDX2015,Nov-2018,105.2107,
1210,G-7,CPI,TOT,IDX2015,Dec-2018,104.9921,
1211,G-7,CPI,TOT,IDX2015,Jan-2019,104.9651,
1212,G-7,CPI,TOT,IDX2015,Feb-2019,105.3207,
1213,G-7,CPI,TOT,IDX2015,Mar-2019,105.8084,
1214,G-7,CPI,TOT,IDX2015,Apr-2019,106.3486,
1215,G-7,CPI,TOT,IDX2015,May-2019,106.5436,
1216,G-7,CPI,TOT,IDX2015,Jun-2019,106.5723,
1217,G-7,CPI,TOT,IDX2015,Jul-2019,106.7371,
1218,G-7,CPI,TOT,IDX2015,Aug-2019,106.807,
1219,G-7,CPI,TOT,IDX2015,Sep-2019,106.7962,
1220,G-7,CPI,TOT,IDX2015,Oct-2019,106.9762,
1221,G-7,CPI,TOT,IDX2015,Nov-2019,106.8811,
1222,G-7,CPI,TOT,IDX2015,Dec-2019,106.9123,
1223,G-7,CPI,TOT,IDX2015,Jan-2020,107.068,
1224,G-7,CPI,TOT,IDX2015,Feb-2020,107.285,
1225,G-7,CPI,TOT,IDX2015,Mar-2020,107.1459,
1226,G-7,CPI,TOT,IDX2015,Apr-2020,106.7395,
1227,G-7,CPI,TOT,IDX2015,May-2020,106.7305,
1228,G-7,CPI,TOT,IDX2015,Jun-2020,107.1573,
1229,G-7,CPI,TOT,IDX2015,Jul-2020,107.4734,
1230,G-7,CPI,TOT,IDX2015,Aug-2020,107.6446,
1231,G-7,CPI,TOT,IDX2015,Sep-2020,107.6391,
1232,G-7,CPI,TOT,IDX2015,Oct-2020,107.6913,
1233,G-7,CPI,TOT,IDX2015,Nov-2020,107.5437,
1234,G-7,CPI,TOT,IDX2015,Dec-2020,107.6662,
1235,G-7,CPI,TOT,IDX2015,Jan-2021,108.1317,
1236,G-7,CPI,TOT,IDX2015,Feb-2021,108.5765,
1237,G-7,CPI,TOT,IDX2015,Mar-2021,109.1823,
1238,G-7,CPI,TOT,IDX2015,Apr-2021,109.7816,
1239,G-7,CPI,TOT,IDX2015,May-2021,110.4608,
1240,G-7,CPI,TOT,IDX2015,Jun-2021,111.1659,
1241,G-7,CPI,TOT,IDX2015,Jul-2021,111.6568,
1242,G-7,CPI,TOT,IDX2015,Aug-2021,111.9124,
1243,G-7,CPI,TOT,IDX2015,Sep-2021,112.1383,
1244,G-7,CPI,TOT,IDX2015,Oct-2021,112.8865,
1245,G-7,CPI,TOT,IDX2015,Nov-2021,113.3322,
1246,G-7,CPI,TOT,IDX2015,Dec-2021,113.6636,
1247,G-7,CPI,TOT,IDX2015,Jan-2022,114.4323,
1248,G-7,CPI,TOT,IDX2015,Feb-2022,115.3946,
1249,G-7,CPI,TOT,IDX2015,Mar-2022,116.9076,
1250,G-7,CPI,TOT,IDX2015,Apr-2022,117.6394,
1251,G-7,CPI,TOT,IDX2015,May-2022,118.7485,
1252,G-7,CPI,TOT,IDX2015,Jun-2022,119.9269,
1253,G-7,CPI,TOT,IDX2015,Jul-2022,120.1725,
1254,G-7,CPI,TOT,IDX2015,Aug-2022,120.3408,
1255,G-7,CPI,TOT,IDX2015,Sep-2022,120.7653,
1256,G-7,CPI,TOT,IDX2015,Oct-2022,121.6923,
1257,G-7,CPI,TOT,IDX2015,Nov-2022,121.6854,
