,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value
720,USA,CPI,ENRG,AGRWTH,Jan-2018,5.538355
721,USA,CPI,ENRG,AGRWTH,Feb-2018,7.731779
722,USA,CPI,ENRG,AGRWTH,Mar-2018,7.0278
723,USA,CPI,ENRG,AGRWTH,Apr-2018,7.867639
724,USA,CPI,ENRG,AGRWTH,May-2018,11.65646
725,USA,CPI,ENRG,AGRWTH,Jun-2018,11.96749
726,USA,CPI,ENRG,AGRWTH,Jul-2018,12.12171
727,USA,CPI,ENRG,AGRWTH,Aug-2018,10.22128
728,USA,CPI,ENRG,AGRWTH,Sep-2018,4.846299
729,USA,CPI,ENRG,AGRWTH,Oct-2018,8.908775
730,USA,CPI,ENRG,AGRWTH,Nov-2018,3.117254
731,USA,CPI,ENRG,AGRWTH,Dec-2018,-0.335434
732,USA,CPI,ENRG,AGRWTH,Jan-2019,-4.794387
733,USA,CPI,ENRG,AGRWTH,Feb-2019,-5.048263
734,USA,CPI,ENRG,AGRWTH,Mar-2019,-0.390489
735,USA,CPI,ENRG,AGRWTH,Apr-2019,1.676644
736,USA,CPI,ENRG,AGRWTH,May-2019,-0.4572109
737,USA,CPI,ENRG,AGRWTH,Jun-2019,-3.388366
738,USA,CPI,ENRG,AGRWTH,Jul-2019,-2.032082
739,USA,CPI,ENRG,AGRWTH,Aug-2019,-4.389285
740,USA,CPI,ENRG,AGRWTH,Sep-2019,-4.751841
741,USA,CPI,ENRG,AGRWTH,Oct-2019,-4.166427
742,USA,CPI,ENRG,AGRWTH,Nov-2019,-0.5900607
743,USA,CPI,ENRG,AGRWTH,Dec-2019,3.437022
744,USA,CPI,ENRG,AGRWTH,Jan-2020,6.222484
745,USA,CPI,ENRG,AGRWTH,Feb-2020,2.769064
746,USA,CPI,ENRG,AGRWTH,Mar-2020,-5.739075
747,USA,CPI,ENRG,AGRWTH,Apr-2020,-17.71603
748,USA,CPI,ENRG,AGRWTH,May-2020,-18.91147
749,USA,CPI,ENRG,AGRWTH,Jun-2020,-12.64563
750,USA,CPI,ENRG,AGRWTH,Jul-2020,-11.1586
751,USA,CPI,ENRG,AGRWTH,Aug-2020,-9.040548
752,USA,CPI,ENRG,AGRWTH,Sep-2020,-7.68738
753,USA,CPI,ENRG,AGRWTH,Oct-2020,-9.19478
754,USA,CPI,ENRG,AGRWTH,Nov-2020,-9.433646
755,USA,CPI,ENRG,AGRWTH,Dec-2020,-6.961621
756,USA,CPI,ENRG,AGRWTH,Jan-2021,-3.647151
757,USA,CPI,ENRG,AGRWTH,Feb-2021,2.362806
758,USA,CPI,ENRG,AGRWTH,Mar-2021,13.17212
759,USA,CPI,ENRG,AGRWTH,Apr-2021,25.14461
760,USA,CPI,ENRG,AGRWTH,May-2021,28.54716
761,USA,CPI,ENRG,AGRWTH,Jun-2021,24.48094
762,USA,CPI,ENRG,AGRWTH,Jul-2021,23.8459
763,USA,CPI,ENRG,AGRWTH,Aug-2021,24.96782
764,USA,CPI,ENRG,AGRWTH,Sep-2021,24.82676
765,USA,CPI,ENRG,AGRWTH,Oct-2021,29.97078
766,USA,CPI,ENRG,AGRWTH,Nov-2021,33.29012
767,USA,CPI,ENRG,AGRWTH,Dec-2021,29.29626
768,USA,CPI,ENRG,AGRWTH,Jan-2022,26.97871
769,USA,CPI,ENRG,AGRWTH,Feb-2022,25.55081
770,USA,CPI,ENRG,AGRWTH,Mar-2022,32.04847
771,USA,CPI,ENRG,AGRWTH,Apr-2022,30.26982
772,USA,CPI,ENRG,AGRWTH,May-2022,34.59775
773,USA,CPI,ENRG,AGRWTH,Jun-2022,41.62388
774,USA,CPI,ENRG,AGRWTH,Jul-2022,32.9277
775,USA,CPI,ENRG,AGRWTH,Aug-2022,23.81335
776,USA,CPI,ENRG,AGRWTH,Sep-2022,19.78625
777,USA,CPI,ENRG,AGRWTH,Oct-2022,17.63192
778,USA,CPI,ENRG,AGRWTH,Nov-2022,13.06561
779,USA,CPI,ENRG,AGRWTH,Dec-2022,7.310495
1512,USA,CPI,ENRG,IDX2015,Jan-2018,103.8286
1513,USA,CPI,ENRG,IDX2015,Feb-2018,105.2362
1514,USA,CPI,ENRG,IDX2015,Mar-2018,104.7606
1515,USA,CPI,ENRG,IDX2015,Apr-2018,107.8538
1516,USA,CPI,ENRG,IDX2015,May-2018,111.7869
1517,USA,CPI,ENRG,IDX2015,Jun-2018,112.9338
1518,USA,CPI,ENRG,IDX2015,Jul-2018,111.9333
1519,USA,CPI,ENRG,IDX2015,Aug-2018,111.8505
1520,USA,CPI,ENRG,IDX2015,Sep-2018,111.469
1521,USA,CPI,ENRG,IDX2015,Oct-2018,111.2679
1522,USA,CPI,ENRG,IDX2015,Nov-2018,106.4146
1523,USA,CPI,ENRG,IDX2015,Dec-2018,101.4835
1524,USA,CPI,ENRG,IDX2015,Jan-2019,98.85064
1525,USA,CPI,ENRG,IDX2015,Feb-2019,99.92361
1526,USA,CPI,ENRG,IDX2015,Mar-2019,104.3515
1527,USA,CPI,ENRG,IDX2015,Apr-2019,109.6621
1528,USA,CPI,ENRG,IDX2015,May-2019,111.2758
1529,USA,CPI,ENRG,IDX2015,Jun-2019,109.1072
1530,USA,CPI,ENRG,IDX2015,Jul-2019,109.6587
1531,USA,CPI,ENRG,IDX2015,Aug-2019,106.941
1532,USA,CPI,ENRG,IDX2015,Sep-2019,106.1722
1533,USA,CPI,ENRG,IDX2015,Oct-2019,106.632
1534,USA,CPI,ENRG,IDX2015,Nov-2019,105.7867
1535,USA,CPI,ENRG,IDX2015,Dec-2019,104.9715
1536,USA,CPI,ENRG,IDX2015,Jan-2020,105.0016
1537,USA,CPI,ENRG,IDX2015,Feb-2020,102.6906
1538,USA,CPI,ENRG,IDX2015,Mar-2020,98.3627
1539,USA,CPI,ENRG,IDX2015,Apr-2020,90.23436
1540,USA,CPI,ENRG,IDX2015,May-2020,90.2319
1541,USA,CPI,ENRG,IDX2015,Jun-2020,95.30989
1542,USA,CPI,ENRG,IDX2015,Jul-2020,97.42231
1543,USA,CPI,ENRG,IDX2015,Aug-2020,97.27297
1544,USA,CPI,ENRG,IDX2015,Sep-2020,98.0103
1545,USA,CPI,ENRG,IDX2015,Oct-2020,96.82742
1546,USA,CPI,ENRG,IDX2015,Nov-2020,95.80719
1547,USA,CPI,ENRG,IDX2015,Dec-2020,97.66382
1548,USA,CPI,ENRG,IDX2015,Jan-2021,101.172
1549,USA,CPI,ENRG,IDX2015,Feb-2021,105.1169
1550,USA,CPI,ENRG,IDX2015,Mar-2021,111.3192
1551,USA,CPI,ENRG,IDX2015,Apr-2021,112.9234
